,공시고유번호,상장코드,최종수정일,회사명
0,00303095, ,20170630,지오스테크널러지
0,00438753, ,20170630,"IndusAsiaPacificFund,Ltd."
0,00367464, ,20170630,지앤텍
0,00450296, ,20170630,삼화공업
0,00201955, ,20170630,금화냉동
0,00409849, ,20170630,혜성
0,00131443, ,20170630,서통상사
0,00174022, ,20170630,유창섬유
0,00444763, ,20170630,피프
0,00412171, ,20170630,모수인터내쇼날
0,00232973, ,20170630,동해산업
0,00152419, ,20170630,대농중공업
0,00257413, ,20170630,신영팩토링
0,00362511, ,20170630,승진건설
0,00446743, ,20170630,아워스인베스트먼트
0,00253055, ,20170630,태흥산업개발
0,00448714, ,20170630,마하인더스트리
0,00448705, ,20170630,모아건설
0,00101716, ,20170630,경북레미콘
0,00447876, ,20170630,그루빅
0,00448671, ,20170630,라이프건설
0,00217150, ,20170630,대진종합건설
0,00164344, ,20170630,해피아이
0,00303314, ,20170630,성서
0,00451213, ,20170630,한신공업
0,00407416, ,20170630,오랙스정유
0,00178675, ,20170630,이논
0,00367181, ,20170630,예들
0,00439062, ,20170630,세제
0,00413514, ,20170630,가인수산
0,00127538, ,20170630,삼원산업
0,00370051, ,20170630,유덕건설
0,00415123, ,20170630,크로스전자
0,00106012, ,20170630,금성텔
0,00158495, ,20170630,한국아프라이드매그네틱스
0,00299774, ,20170630,스타럽스
0,00414911, ,20170630,텔레프리
0,00414762, ,20170630,금화도시개발
0,00234078, ,20170630,길정종합건설
0,00412515, ,20170630,메디링스
0,00151076, ,20170630,창원개발
0,00170512, ,20170630,우신레저산업
0,00370033, ,20170630,연이산업
0,00406587, ,20170630,다른신문
0,00413471, ,20170630,비투올네트
0,00248804, ,20170630,성진사
0,00359854, ,20170630,네투스테크놀러지
0,00252870, ,20170630,동구
0,00300432, ,20170630,비아이캐피탈
0,00415938, ,20170630,세아개발
0,00370714, ,20170630,퍼시픽스타
0,00345693, ,20170630,SKIMT
0,00426226, ,20170630,일신제약
0,00426235, ,20170630,모아에셋
0,00376505, ,20170630,그린페이퍼텍
0,00427058, ,20170630,원업제이차유동화전문유한회사
0,00427100, ,20170630,두손테크피아
0,00427331, ,20170630,유니맥코리아
0,00429144, ,20170630,아하크레딧유동화전문유한회사
0,00429180, ,20170630,거버너스M&A사모펀드2호
0,00419916, ,20170630,기가솔
0,00421009, ,20170630,모쿠스
0,00363796, ,20170630,남양산업
0,00302148, ,20170630,에이팩스기술투자
0,00426314, ,20170630,에스지테크놀러지
0,00427146, ,20170630,도이체방크아게런던
0,00245065, ,20170630,에이에스엠엘에스씨
0,00427182, ,20170630,얼라이언스캐피탈파트너즈
0,00382852, ,20170630,대진산업
0,00362113, ,20170630,하늘사랑
0,00220756, ,20170630,씨앤씨캐피탈
