Symbol,Item Name ,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-01-28
A003480,지배주주순이익(원),"-121,369,000,000","-137,920,000,000","-266,843,000,000","-139,436,000,000","9,038,000,000",,
A003480,총자본(원),"1,107,308,000,000","937,080,000,000","654,993,000,000","428,977,000,000","367,046,000,000",,
A003480,총부채(원),"1,614,895,000,000","1,648,676,000,000","1,622,526,000,000","1,489,671,000,000","1,506,557,000,000",,
A003480,자본금(원),"155,149,000,000","155,149,000,000","155,149,000,000","155,149,000,000","155,149,000,000",,
A003480,이익잉여금(원),"5,237,000,000","-155,602,000,000","-369,163,000,000","-506,192,000,000","-502,103,000,000",,
A003480,영업활동으로인한현금흐름(원),"50,230,000,000","58,760,000,000","26,922,000,000","35,046,000,000","57,164,000,000",,
A003480,투자활동으로인한현금흐름(원),"-169,283,000,000","-67,940,000,000","6,451,000,000","34,068,000,000","-58,991,000,000",,
A003480,"수정DPS(보통주,현금)(원)",200.00,,,,,,
A003480,수정주가(원),"8,140","6,010","5,050","4,030","2,930","2,590","2,460"
A003480,상장주식수 (보통+우선)(주),"29,529,812","29,529,812","29,529,812","29,529,812","29,529,812","29,529,812","29,529,812"
A090410,매출액(원),"90,645,621,490","107,493,319,410","120,269,692,940","122,876,930,030","131,099,317,340",,
A090410,영업이익(원),"10,615,882,320","3,151,493,880","-10,647,745,500","8,124,597,420","10,552,474,290",,
A090410,지배주주순이익(원),"6,965,176,540","1,133,071,500","-12,189,253,240","8,714,096,610","8,569,002,540",,
A090410,총자본(원),"69,497,435,410","68,262,112,460","54,428,169,090","62,334,189,320","72,089,465,870",,
A090410,총부채(원),"11,722,791,620","29,914,616,910","56,805,350,720","44,288,436,010","45,682,446,060",,
A090410,자본금(원),"4,006,000,000","4,006,000,000","4,006,000,000","4,006,000,000","4,006,000,000",,
A090410,이익잉여금(원),"49,464,785,210","49,636,418,140","37,447,164,900","46,161,261,520","54,742,414,100",,
